text,intent,response
"Здравствуйте, хочу заказать дизайн проект",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует 3D визуализация квартиры",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можно обсудить проект?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать проект освещения",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, хочу узнать по сотрудничеству",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, я по поводу визуализации нашего строительного обьекта",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, с чего бы нам начать?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, у меня есть ген план на руках",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можно обсудить дизайн проект?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, давайте сделаем тестовое изделие",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
Я по поводу визуализации моего проекта,первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, нам нужно сделать презентацию",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, у меня есть референсы стиля",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, нужна презентация на светильники",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать визуализацию виллы с нуля",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, с чего начать работу?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует 3D моделирование квартиры ",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можно заказать презентацию проекта? ",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, можете сделать тест?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, с чего бы нам начать работу?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует 3D визуализация дома",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, хочу узнать по поводу дизайна интерьера",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать визуализацию, сроки ограничены",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хотим обсудить визуалы",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать визуалы светильников",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, мы находимся в поиске визуализатора",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, интересует 3D дизайн экстерьера ",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, нужна визуализация дома",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, хочу узнать по поводу визуализации",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать 3д рендеры",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можно обсудить дизайн-проект? ",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать презентацию на наши модели",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать визуализацию наших моделей",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует 3д моделирование наших изделий",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует 3D визуализация, можно обсудить?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, нужно смоделировать наши изделия по ТЗ",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можно обсудить проект 3д визуализации?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует 3д моделирование по фото",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, хочу заказать 3д рендеры люстр",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можно обсудить проект визуализации?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, мы хотим получить 3д визуализацию",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Здравствуйте, с чего начать работу, какие данные вам нужны?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, интересует моделирование обьектов",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Добрый день, можете выполнить тестовое задание?",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
"Привет, нам нужна 3д визуализация и дизайн интерьера",первичное_обращение,Добрый день! Давайте обсудим детали проекта.
Какая цена проекта?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можете сориентировать по стоимости?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая цена моделирования?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость моделирования?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько будет стоить работа? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Подскажите сколько будет стоить работа?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит 1 рендер?,стоимость,Стоимость зависит от объема работы и сложности сцены.
"Здравствуйте, сколько стоит один рендер?",стоимость,Стоимость зависит от объема работы и сложности сцены.
Какой у вас прайс?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можете прислать свой прайс?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Здравствуйте! Подскажите какой у вас прайс? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Добрый день! Сориентируйте по стоимости пожалуйста,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость визуализации?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая стоимость данного проекта? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько будет стоить работа?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая цена проекта? Нужно как можно быстрее,стоимость,Стоимость зависит от объема работы и сложности сцены.
Доброе утро! Сориентируйте по стоимости работ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько будет стоить рендер для презентации?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация для презентации?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Здравствуйте. Сколько будет стоить работа?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько будет стоить проект?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость 3д моделирования?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация дома?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация спальни?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какой у вас прайс по моделированию? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость визуализации одного ракурса?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость 1 ракурса? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
"Какая цена проекта? Подскажите, пожалуйста",стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация и моделирование? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость 3Д проекта? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая цена 3д проекта?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация светильников в интерьере? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость экстерьера? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какой у вас прайс лист по интерьерам? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая цена моделирования интерьера?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость работ по дизайну? ,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какой у вас прайс по дизайну?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит дизайн-проект квартиры?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость рендера улицы?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Сколько стоит визуализация уличного пространства?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Можно узнать стоимость дизайна освещения?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая будет цена проекта?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Какая стоимость работ по визуализации?,стоимость,Стоимость зависит от объема работы и сложности сцены.
Когда нужно оплачивать?,оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после работы?,оплата,Условия оплаты обсуждаются индивидуально.
Какие условия оплаты? ,оплата,Условия оплаты обсуждаются индивидуально.
Нужна ли предоплата? ,оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после финальной работы?,оплата,Условия оплаты обсуждаются индивидуально.
Нужна ли предоплата до начала работы? ,оплата,Условия оплаты обсуждаются индивидуально.
Сориентируйте по условиям оплаты,оплата,Условия оплаты обсуждаются индивидуально.
Можно ли оплатить после итога работы? ,оплата,Условия оплаты обсуждаются индивидуально.
Какие условия оплаты? Нужно как можно быстрее,оплата,Условия оплаты обсуждаются индивидуально.
Нужна ли предоплата за срочность? ,оплата,Условия оплаты обсуждаются индивидуально.
Как проходит оплата? Пожалуйста подскажите,оплата,Условия оплаты обсуждаются индивидуально.
Подскажите как проходит оплата? ,оплата,Условия оплаты обсуждаются индивидуально.
Какие ваши условия оплаты? ,оплата,Условия оплаты обсуждаются индивидуально.
Когда нужно оплачивать дизайн проект? ,оплата,Условия оплаты обсуждаются индивидуально.
Нужна ли предоплата за моделирование?,оплата,Условия оплаты обсуждаются индивидуально.
Как проходит оплата визуализации?,оплата,Условия оплаты обсуждаются индивидуально.
Какие условия оплаты всего проекта?,оплата,Условия оплаты обсуждаются индивидуально.
Здравствуйте! Нужна ли предоплата?,оплата,Условия оплаты обсуждаются индивидуально.
Добрый день! Вы работаете по предоплате?,оплата,Условия оплаты обсуждаются индивидуально.
"Когда нужно оплачивать, если есть редактирование? ",оплата,Условия оплаты обсуждаются индивидуально.
Когда нужно оплачивать финальный рендер? ,оплата,Условия оплаты обсуждаются индивидуально.
Когда нужно оплачивать 3д моделирование?,оплата,Условия оплаты обсуждаются индивидуально.
Как проходит оплата при редактировании?,оплата,Условия оплаты обсуждаются индивидуально.
"Какие условия оплаты, если есть изменения в проекте? ",оплата,Условия оплаты обсуждаются индивидуально.
"Как проходит оплата, если планируются изменения проекта? ",оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после редактирования? ,оплата,Условия оплаты обсуждаются индивидуально.
Какие условия оплаты? По согласованию?,оплата,Условия оплаты обсуждаются индивидуально.
Какие у вас условия оплаты? ,оплата,Условия оплаты обсуждаются индивидуально.
Можно ли оплачивать частями в течении работы? ,оплата,Условия оплаты обсуждаются индивидуально.
"Подскажите, можно ли оплатить после завершения работы? ",оплата,Условия оплаты обсуждаются индивидуально.
Нужно ли согласовывать предоплату?,оплата,Условия оплаты обсуждаются индивидуально.
Сориентируйте когда нужно оплачивать? ,оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после завершения проекта? ,оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после финальных визуализаций? ,оплата,Условия оплаты обсуждаются индивидуально.
Можно ли оплачивать после итога работы? ,оплата,Условия оплаты обсуждаются индивидуально.
Когда нужно оплачивать проект? ,оплата,Условия оплаты обсуждаются индивидуально.
Когда нужно оплачивать дизайн проект?,оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после финального согласования?,оплата,Условия оплаты обсуждаются индивидуально.
Как проходит оплата по моделированию и визуализации?,оплата,Условия оплаты обсуждаются индивидуально.
"Нужна ли предоплата, если проект в процессе доработки?",оплата,Условия оплаты обсуждаются индивидуально.
"Нужна ли предоплата,если будет изменение по проекту?",оплата,Условия оплаты обсуждаются индивидуально.
Можем ли мы оплатить работу после финальной визуализации?,оплата,Условия оплаты обсуждаются индивидуально.
Можно оплатить после всех итоговых согласований?,оплата,Условия оплаты обсуждаются индивидуально.
Как проходит оплата нескольких проектов?,оплата,Условия оплаты обсуждаются индивидуально.
Нужна ли предоплата за несколько проектов?,оплата,Условия оплаты обсуждаются индивидуально.
Когда ожидать результат?,сроки,Сроки зависят от объема сцены.
Когда будет готово?,сроки,Сроки зависят от объема сцены.
Как быстро сделаете?,сроки,Сроки зависят от объема сцены.
Когда будет готов проект?,сроки,Сроки зависят от объема сцены.
Сколько по времени займет?,сроки,Сроки зависят от объема сцены.
Когда ожидать итоговый результат?,сроки,Сроки зависят от объема сцены.
